product_id,product_name,product_type,category,skin_type,use_case,ingredients,scent,product_form,packaging_type,dermatologist_tested,spf_rating,paraben_free,cruelty_free,shelf_life_months,storage_conditions,price_usd,available_online,average_rating,review_count,launch_year,stock_status,tagline,keywords
SK001,Aloe Vera Soothing Gel,Acne Care,Night Cream,Combination,Acne Treatment,"Aloe Vera, Glycerin",Unscented,Mask,Bottle,Yes,30,Yes,Yes,24,"Store in a cool, dry place",26.69,Yes,3.5,333,2020,Out of Stock,Get glowing with Aloe Vera Soothing Gel,"gentle, hydration, moisturizing"
SK002,Vitamin C Brightening Serum,Eye Care,Toner,Normal,Acne Treatment,"Vitamin C, Ferulic Acid",Rose,Cream,Jar,No,15,Yes,Yes,24,"Store in a cool, dry place",29.11,No,3.2,288,2022,Limited Stock,Get glowing with Vitamin C Brightening Serum,"anti-aging, brightening, hydration"
SK003,Tea Tree Oil Cleanser,Acne Care,Serum,Normal,Anti-aging,"Tea Tree Oil, Salicylic Acid",Herbal,Lotion,Tube,Yes,15,Yes,No,18,"Store in a cool, dry place",35.85,No,3.2,490,2021,Out of Stock,Get glowing with Tea Tree Oil Cleanser,"moisturizing, acne, anti-aging"
SK004,Hyaluronic Acid Moisturizer,Anti-Aging,Mask,Oily,Hydration,"Hyaluronic Acid, Ceramides",None,Gel,Jar,No,50,Yes,No,18,"Store in a cool, dry place",25.46,No,3.2,315,2019,In Stock,Get glowing with Hyaluronic Acid Moisturizer,"gentle, acne, natural"
SK005,Charcoal Detox Face Mask,Anti-Aging,Moisturizer,Oily,Anti-aging,"Charcoal, Kaolin Clay",Rose,Serum,Sachet,Yes,50,No,Yes,18,"Store in a cool, dry place",42.77,No,4.4,383,2020,Limited Stock,Get glowing with Charcoal Detox Face Mask,"brightening, moisturizing, anti-aging"
SK006,Sunscreen SPF 50+,Anti-Aging,Cleanser,Dry,Hydration,"Zinc Oxide, Avobenzone",None,Cream,Bottle,Yes,0,No,Yes,24,"Store in a cool, dry place",36.55,No,4.1,330,2021,In Stock,Get glowing with Sunscreen SPF 50+,"hydration, moisturizing, natural"
SK007,Retinol Night Cream,Anti-Aging,Sunscreen,Dry,Pore Minimizing,"Retinol, Peptides",Unscented,Foam,Jar,Yes,50,No,No,36,"Store in a cool, dry place",12.86,No,3.5,98,2021,In Stock,Get glowing with Retinol Night Cream,"anti-aging, moisturizing, hydration"
SK008,Green Tea Toner,Sun Care,Moisturizer,Combination,Acne Treatment,"Green Tea Extract, Witch Hazel",Lavender,Gel,Pump,No,50,Yes,No,36,"Store in a cool, dry place",31.69,No,4.5,136,2020,Out of Stock,Get glowing with Green Tea Toner,"moisturizing, gentle, natural"
SK009,Niacinamide Pore Serum,Face Care,Cleanser,Combination,Hydration,"Niacinamide, Zinc PCA",None,Serum,Tube,Yes,0,Yes,No,18,"Store in a cool, dry place",33.47,No,3.8,417,2020,Limited Stock,Get glowing with Niacinamide Pore Serum,"gentle, moisturizing, anti-aging"
SK010,Cucumber Eye Gel,Acne Care,Toner,Oily,Hydration,"Cucumber Extract, Chamomile",Rose,Serum,Pump,No,15,No,Yes,36,"Store in a cool, dry place",23.88,Yes,4.2,313,2023,Out of Stock,Get glowing with Cucumber Eye Gel,"anti-aging, natural, brightening"
SK011,Aloe Vera Soothing Gel,Face Care,Sunscreen,Combination,Pore Minimizing,"Aloe Vera, Glycerin",Citrus,Serum,Bottle,Yes,0,Yes,Yes,36,"Store in a cool, dry place",32.56,No,3.6,483,2024,Limited Stock,Get glowing with Aloe Vera Soothing Gel,"hydration, gentle, natural"
SK012,Vitamin C Brightening Serum,Anti-Aging,Toner,Sensitive,Anti-aging,"Vitamin C, Ferulic Acid",Unscented,Cream,Jar,Yes,30,No,No,18,"Store in a cool, dry place",17.68,No,4.0,151,2022,Limited Stock,Get glowing with Vitamin C Brightening Serum,"hydration, gentle, brightening"
SK013,Tea Tree Oil Cleanser,Anti-Aging,Toner,Normal,Hydration,"Tea Tree Oil, Salicylic Acid",Herbal,Mask,Pump,No,0,Yes,Yes,36,"Store in a cool, dry place",43.84,No,4.9,31,2021,In Stock,Get glowing with Tea Tree Oil Cleanser,"anti-aging, brightening, moisturizing"
SK014,Hyaluronic Acid Moisturizer,Face Care,Night Cream,Normal,Pore Minimizing,"Hyaluronic Acid, Ceramides",Unscented,Lotion,Jar,Yes,0,No,No,12,"Store in a cool, dry place",22.44,Yes,3.0,225,2022,Out of Stock,Get glowing with Hyaluronic Acid Moisturizer,"moisturizing, gentle, acne"
